gene_name	gene_id	total_exonic_length
CT47A11	ENSG00000226929.3	1294
CT47A12	ENSG00000226685.4	1165
CT47A2	ENSG00000242362.2	NA
CT47A3	ENSG00000236126.3	NA
CT47A4	ENSG00000230594.3	NA
CT47A5	ENSG00000237957.6	NA
CT47A8	ENSG00000230347.5	NA
CT47A9	ENSG00000226600.3	NA
CT55	ENSG00000169551.13	1441
CT83	ENSG00000204019.5	517
CTAG1A	ENSG00000268651.4	769
CTAG1B	ENSG00000184033.14	759
CTAG2	ENSG00000126890.14	759
CTBP1	ENSG00000159692.17	2488
CTBP2	ENSG00000175029.17	8471
CTBS	ENSG00000117151.13	6571
CTCF	ENSG00000102974.16	3814
CTCFL	ENSG00000124092.13	3500
CTDNEP1	ENSG00000175826.12	1767
CTDP1	ENSG00000060069.18	3744
CTDSP1	ENSG00000144579.8	2525
CTDSP2	ENSG00000175215.11	4785
CTDSPL	ENSG00000144677.15	4753
CTDSPL2	ENSG00000137770.14	6433
CTF1	ENSG00000150281.7	1644
CTH	ENSG00000116761.12	2090
CTHRC1	ENSG00000164932.13	1240
CTIF	ENSG00000134030.14	5765
CTNNA1	ENSG00000044115.21	3754
CTNNA2	ENSG00000066032.19	3932
CTNNA3	ENSG00000183230.18	10696
CTNNAL1	ENSG00000119326.15	2454
CTNNB1	ENSG00000168036.18	3661
CTNNBIP1	ENSG00000178585.15	3006
CTNNBL1	ENSG00000132792.19	1890
CTNND1	ENSG00000198561.16	6670
CTNND2	ENSG00000169862.20	5888
CTNS	ENSG00000040531.16	4139
CTPS2	ENSG00000047230.15	3953
CTR9	ENSG00000198730.9	4330
CTRB1	ENSG00000168925.12	870
CTRB2	ENSG00000168928.13	870
CTRC	ENSG00000162438.12	3482
CTRL	ENSG00000141086.18	1165
CTSB	ENSG00000164733.22	3733
CTSC	ENSG00000109861.17	1870
CTSD	ENSG00000117984.15	2055
CTSE	ENSG00000196188.12	2214
CTSF	ENSG00000174080.12	2044
CTSG	ENSG00000100448.4	914
CTSH	ENSG00000103811.18	2145
CTSK	ENSG00000143387.14	1629
CTSL	ENSG00000135047.16	1654
CTSO	ENSG00000256043.5	2903
CTSS	ENSG00000163131.12	3936
CTSV	ENSG00000136943.12	4359
CTSW	ENSG00000172543.9	1272
CTSZ	ENSG00000101160.15	1502
CTTN	ENSG00000085733.16	3249
CTTNBP2	ENSG00000077063.11	5904
CTTNBP2NL	ENSG00000143079.15	5864
CTU2	ENSG00000174177.13	1721
CTXN1	ENSG00000178531.6	1237
CTXN2	ENSG00000233932.6	2704
CTXN3	ENSG00000205279.9	1622
CUBN	ENSG00000107611.16	11927
CUEDC1	ENSG00000180891.13	3710
CUEDC2	ENSG00000107874.11	1100
CUL1	ENSG00000055130.18	3147
CUL2	ENSG00000108094.17	4183
CUL3	ENSG00000036257.14	6756
CUL4A	ENSG00000139842.15	5821
CUL4B	ENSG00000158290.19	5915
CUL5	ENSG00000166266.14	6171
CUL7	ENSG00000044090.13	5406
CUTC	ENSG00000119929.13	1332
CUX1	ENSG00000257923.12	13723
CUX2	ENSG00000111249.14	6703
CUZD1	ENSG00000138161.14	1958
CWC15	ENSG00000150316.12	1522
CWC22	ENSG00000163510.14	3524
CWC25	ENSG00000273559.5	3067
CWC27	ENSG00000153015.17	2065
CWF19L1	ENSG00000095485.18	2591
CWF19L2	ENSG00000152404.16	3244
CWH43	ENSG00000109182.12	2444
CX3CL1	ENSG00000006210.7	3285
CX3CR1	ENSG00000168329.14	3106
CXADR	ENSG00000154639.19	5593
CXCL1	ENSG00000163739.5	1174
CXCL10	ENSG00000169245.6	1175
CXCL11	ENSG00000169248.13	1479
CXCL12	ENSG00000107562.17	1928
CXCL14	ENSG00000145824.13	1687
CXCL16	ENSG00000161921.17	2324
CXCL17	ENSG00000189377.9	1080
CXCL2	ENSG00000081041.9	1115
CXCL3	ENSG00000163734.4	1075
CXCL5	ENSG00000163735.7	2436
CXCL6	ENSG00000124875.10	1537
CXCL8	ENSG00000169429.12	1642
CXCL9	ENSG00000138755.6	2761
CXCR1	ENSG00000163464.8	2459
CXCR2	ENSG00000180871.8	2853
CXCR3	ENSG00000186810.8	1615
CXCR4	ENSG00000121966.8	1668
CXCR5	ENSG00000160683.5	4293
CXCR6	ENSG00000172215.6	1968
CXorf38	ENSG00000185753.13	4244
CXorf58	ENSG00000165182.12	1549
CXorf66	ENSG00000203933.3	1279
CXXC1	ENSG00000154832.16	2320
CXXC5	ENSG00000171604.12	2601
CYB561	ENSG00000008283.16	2929
CYB561A3	ENSG00000162144.10	2584
CYB561D1	ENSG00000174151.15	4912
CYB561D2	ENSG00000114395.11	1142
CYB5A	ENSG00000166347.19	3231
CYB5B	ENSG00000103018.18	4262
CYB5D1	ENSG00000182224.12	3489
CYB5D2	ENSG00000167740.10	1969
CYB5R1	ENSG00000159348.13	1624
CYB5R2	ENSG00000166394.15	1249
CYB5R3	ENSG00000100243.22	2916
CYB5R4	ENSG00000065615.14	9205
CYBA	ENSG00000051523.12	692
CYBB	ENSG00000165168.9	4276
CYBC1	ENSG00000178927.19	2073
CYBRD1	ENSG00000071967.12	4235
CYC1	ENSG00000179091.5	1191
CYCS	ENSG00000172115.9	5432
CYFIP1	ENSG00000273749.5	6826
CYFIP2	ENSG00000055163.21	6452
CYGB	ENSG00000161544.10	1962
CYLC1	ENSG00000183035.13	2107
CYLC2	ENSG00000155833.15	2149
CYP11A1	ENSG00000140459.18	1837
CYP11B1	ENSG00000160882.13	3540
CYP11B2	ENSG00000179142.2	2936
CYP17A1	ENSG00000148795.7	1750
CYP19A1	ENSG00000137869.16	4403
CYP1A1	ENSG00000140465.15	2603
CYP1A2	ENSG00000140505.7	3132
CYP1B1	ENSG00000138061.12	5218
CYP20A1	ENSG00000119004.17	10552
CYP24A1	ENSG00000019186.10	3278
CYP26A1	ENSG00000095596.12	2117
CYP26B1	ENSG00000003137.9	4556
CYP27A1	ENSG00000135929.9	1895
CYP27B1	ENSG00000111012.10	2372
CYP2A13	ENSG00000197838.5	1760
CYP2A6	ENSG00000255974.8	1761
CYP2A7	ENSG00000198077.11	1760
CYP2B6	ENSG00000197408.10	3071
CYP2C18	ENSG00000108242.13	2310
CYP2C19	ENSG00000165841.11	4131
CYP2C8	ENSG00000138115.15	1924
CYP2C9	ENSG00000138109.11	2561
CYP2D7	ENSG00000205702.12	1740
CYP2E1	ENSG00000130649.10	1674
CYP2F1	ENSG00000197446.9	1847
CYP2J2	ENSG00000134716.11	1879
CYP2R1	ENSG00000186104.11	2214
CYP2S1	ENSG00000167600.14	2612
CYP2U1	ENSG00000155016.18	4768
CYP2W1	ENSG00000073067.14	2322
CYP39A1	ENSG00000146233.8	2432
CYP3A43	ENSG00000021461.18	1707
CYP3A5	ENSG00000106258.15	1720
CYP3A7	ENSG00000160870.15	2079
CYP3A7-CYP3A51P	ENSG00000282301.4	1704
CYP46A1	ENSG00000036530.9	2197
CYP4A11	ENSG00000187048.14	2530
CYP4A22	ENSG00000162365.13	2535
CYP4B1	ENSG00000142973.15	2174
CYP4F11	ENSG00000171903.17	3051
CYP4F12	ENSG00000186204.15	1714
CYP4F2	ENSG00000186115.13	2361
CYP4F3	ENSG00000186529.16	5053
CYP4F8	ENSG00000186526.13	2908
CYP4V2	ENSG00000145476.16	4657
CYP4X1	ENSG00000186377.8	2256
CYP4Z1	ENSG00000186160.5	2162
CYP51A1	ENSG00000001630.18	3155
CYP7A1	ENSG00000167910.4	2877
CYP7B1	ENSG00000172817.4	7462
CYREN	ENSG00000122783.17	1494
CYRIA	ENSG00000197872.11	4670
CYS1	ENSG00000205795.5	3045
CYSLTR1	ENSG00000173198.6	2700
CYSTM1	ENSG00000120306.11	790
CYTH2	ENSG00000105443.16	4443
CYTH3	ENSG00000008256.16	4482
CYTH4	ENSG00000100055.21	3077
CYTIP	ENSG00000115165.10	2207
CYTL1	ENSG00000170891.11	989
CZIB	ENSG00000162384.14	1102
D2HGDH	ENSG00000180902.18	2566
DAAM1	ENSG00000100592.16	5890
DAAM2	ENSG00000146122.17	6185
DAB2	ENSG00000153071.15	4345
DACH1	ENSG00000276644.5	5245
DACH2	ENSG00000126733.22	2417
DAD1	ENSG00000129562.11	684
DAG1	ENSG00000173402.13	5387
DAGLA	ENSG00000134780.10	5799
DAGLB	ENSG00000164535.15	2839
DALRD3	ENSG00000178149.17	1748
DAND5	ENSG00000179284.6	1781
DAO	ENSG00000110887.8	1694
DAOA	ENSG00000182346.22	785
DAP	ENSG00000112977.16	2301
DAP3	ENSG00000132676.16	2056
DAPK2	ENSG00000035664.11	2791
DAPL1	ENSG00000163331.12	549
DAPP1	ENSG00000070190.13	2935
DARS1	ENSG00000115866.11	3099
DAW1	ENSG00000123977.10	1683
DAXX	ENSG00000204209.13	2558
DAZ1	ENSG00000188120.16	4335
DAZ3	ENSG00000187191.16	3417
DAZAP1	ENSG00000071626.17	2184
DAZAP2	ENSG00000183283.16	2064
DAZL	ENSG00000092345.14	2974
DBF4	ENSG00000006634.8	3655
DBF4B	ENSG00000161692.18	3015
DBH	ENSG00000123454.12	2745
DBI	ENSG00000155368.18	564
DBNDD2	ENSG00000244274.9	1132
DBNL	ENSG00000136279.21	9869
DBP	ENSG00000105516.11	2170
DBR1	ENSG00000138231.14	2662
DBT	ENSG00000137992.15	10799
DCAF10	ENSG00000122741.16	7906
DCAF11	ENSG00000100897.18	4304
DCAF12	ENSG00000198876.13	3592
DCAF12L1	ENSG00000198889.5	3345
DCAF13	ENSG00000164934.14	1970
DCAF15	ENSG00000132017.11	2261
DCAF17	ENSG00000115827.14	5853
DCAF4	ENSG00000119599.17	2474
DCAF5	ENSG00000139990.18	5946
DCAF6	ENSG00000143164.16	3486
DCAF7	ENSG00000136485.16	6324
DCBLD2	ENSG00000057019.16	6128
DCC	ENSG00000187323.12	10181
DCD	ENSG00000161634.12	519
DCDC2	ENSG00000146038.12	4715
DCDC2B	ENSG00000222046.3	1350
DCHS1	ENSG00000166341.9	10713
DCHS2	ENSG00000197410.14	13354
DCK	ENSG00000156136.10	2506
DCLK2	ENSG00000170390.16	4075
DCLRE1A	ENSG00000198924.8	4450
DCLRE1C	ENSG00000152457.19	5960
DCN	ENSG00000011465.18	6850
DCP1A	ENSG00000272886.6	5926
DCP1B	ENSG00000151065.14	2033
DCP2	ENSG00000172795.17	10110
DCPS	ENSG00000110063.10	5427
DCST2	ENSG00000163354.15	2419
DCSTAMP	ENSG00000164935.6	1953
DCT	ENSG00000080166.16	5074
DCTD	ENSG00000129187.15	1928
DCTN2	ENSG00000175203.17	1973
DCTN3	ENSG00000137100.16	828
DCTN4	ENSG00000132912.13	4116
DCTN5	ENSG00000166847.10	10954
DCTN6	ENSG00000104671.8	1054
DCTPP1	ENSG00000179958.10	1181
DCUN1D1	ENSG00000043093.15	7849
DCUN1D2	ENSG00000150401.15	3032
DCUN1D3	ENSG00000188215.10	6136
DCUN1D4	ENSG00000109184.15	4222
DCUN1D5	ENSG00000137692.12	12675
DCXR	ENSG00000169738.8	852
DDA1	ENSG00000130311.11	4043
DDAH1	ENSG00000153904.21	3939
DDB1	ENSG00000167986.15	4245
DDB2	ENSG00000134574.12	1815
DDC	ENSG00000132437.18	2012
DDIAS	ENSG00000165490.13	3524
DDIT3	ENSG00000175197.13	903
DDIT4	ENSG00000168209.6	1744
DDIT4L	ENSG00000145358.6	2604
DDN	ENSG00000181418.8	3815
DDO	ENSG00000203797.12	2130
DDOST	ENSG00000244038.11	1941
DDR1	ENSG00000204580.14	3836
DDR2	ENSG00000162733.19	10086
DDRGK1	ENSG00000198171.13	1303
DDT	ENSG00000099977.15	565
DDX1	ENSG00000079785.16	2484
DDX10	ENSG00000178105.12	3217
DDX11	ENSG00000013573.17	3920
DDX17	ENSG00000100201.23	4761
DDX18	ENSG00000088205.13	3753
DDX19A	ENSG00000168872.17	2923
DDX19B	ENSG00000157349.17	3275
DDX20	ENSG00000064703.13	3600
DDX21	ENSG00000165732.14	4664
DDX23	ENSG00000174243.11	3256
DDX24	ENSG00000089737.18	5573
DDX25	ENSG00000109832.14	7424
DDX27	ENSG00000124228.15	2570
DDX31	ENSG00000125485.18	4159
DDX39A	ENSG00000123136.15	1498
DDX39B	ENSG00000198563.14	1681
DDX3Y	ENSG00000067048.17	4408
DDX4	ENSG00000152670.19	2847
DDX41	ENSG00000183258.12	2099
DDX43	ENSG00000080007.8	2430
DDX46	ENSG00000145833.16	5674
DDX47	ENSG00000213782.7	1817
DDX49	ENSG00000105671.12	1793
DDX5	ENSG00000108654.16	3684
DDX50	ENSG00000107625.14	2501
DDX51	ENSG00000185163.10	4702
DDX52	ENSG00000278053.5	6383
DDX54	ENSG00000123064.13	4377
DDX55	ENSG00000111364.16	2656
DDX56	ENSG00000136271.11	1855
DDX58	ENSG00000107201.11	4628
DDX59	ENSG00000118197.14	2229
DDX6	ENSG00000110367.14	6128
DDX60	ENSG00000137628.18	6015
DEAF1	ENSG00000177030.19	2190
DECR1	ENSG00000104325.7	2760
DECR2	ENSG00000242612.7	1551
DEDD	ENSG00000158796.17	2344
DEDD2	ENSG00000160570.14	1905
DEF6	ENSG00000023892.12	2296
DEF8	ENSG00000140995.17	3620
DEFA1	ENSG00000206047.3	498
DEFA1B	ENSG00000240247.8	494
DEFA3	ENSG00000239839.7	494
DEFA4	ENSG00000164821.5	587
DEFA5	ENSG00000164816.8	454
DEFA6	ENSG00000164822.5	465
DEFB1	ENSG00000164825.4	375
DEFB103A	ENSG00000176797.4	329
DEFB103B	ENSG00000177243.3	518
DEFB104A	ENSG00000176782.3	316
DEFB104B	ENSG00000177023.2	281
DEFB105A	ENSG00000186562.8	1283
DEFB105B	ENSG00000186599.8	321
DEFB106A	ENSG00000186579.3	336
DEFB106B	ENSG00000187082.2	316
DEFB107A	ENSG00000186572.2	389
DEFB107B	ENSG00000198129.3	324
DEFB108B	ENSG00000184276.3	370
DEFB110	ENSG00000203970.4	397
DEFB113	ENSG00000214642.1	249
DEFB114	ENSG00000177684.4	312
DEFB115	ENSG00000215547.1	267
DEFB116	ENSG00000215545.1	309
DEFB118	ENSG00000131068.4	1175
DEFB119	ENSG00000180483.7	444
DEFB121	ENSG00000204548.4	362
DEFB123	ENSG00000180424.7	354
DEFB124	ENSG00000180383.4	777
DEFB125	ENSG00000178591.7	1186
DEFB126	ENSG00000125788.6	434
DEFB127	ENSG00000088782.5	530
DEFB128	ENSG00000185982.7	403
DEFB129	ENSG00000125903.4	698
DEFB130A	ENSG00000232948.1	NA
DEFB130B	ENSG00000233050.1	240
DEFB131A	ENSG00000186146.2	485
DEFB131B	ENSG00000225805.4	213
DEFB132	ENSG00000186458.5	2133
DEFB134	ENSG00000205882.9	1099
DEFB135	ENSG00000205883.3	299
DEFB136	ENSG00000205884.2	237
DEFB4A	ENSG00000171711.3	337
DEFB4B	ENSG00000177257.3	337
DEGS1	ENSG00000143753.13	2032
DEGS2	ENSG00000168350.8	3834
DELE1	ENSG00000081791.9	4907
DENND10	ENSG00000119979.18	2441
DENND11	ENSG00000257093.7	7309
DENND1C	ENSG00000205744.10	2795
DENND2B	ENSG00000166444.19	4341
DENND2D	ENSG00000162777.17	3239
DENND4A	ENSG00000174485.16	8837
DENND4B	ENSG00000198837.10	5728
DENND5A	ENSG00000184014.9	4991
DENND6A	ENSG00000174839.13	4646
DENND6B	ENSG00000205593.12	4891
DENR	ENSG00000139726.11	2719
DEPDC1	ENSG00000024526.17	5299
DEPDC1B	ENSG00000035499.13	2504
DEPDC4	ENSG00000166153.17	3324
DEPDC7	ENSG00000121690.11	1741
DEPP1	ENSG00000165507.9	2120
DEPTOR	ENSG00000155792.10	2569
DERA	ENSG00000023697.13	1644
DERL1	ENSG00000136986.10	3213
DERL2	ENSG00000072849.11	4167
DERL3	ENSG00000099958.15	3093
DES	ENSG00000175084.13	2243
DESI1	ENSG00000100418.8	3780
DESI2	ENSG00000121644.19	4017
DET1	ENSG00000140543.15	2276
DEXI	ENSG00000182108.11	1569
DFFA	ENSG00000160049.12	6035
DFFB	ENSG00000169598.17	2833
DGAT1	ENSG00000185000.12	3653
DGAT2	ENSG00000062282.15	2407
DGAT2L6	ENSG00000184210.6	1712
DGCR2	ENSG00000070413.20	4438
DGCR6	ENSG00000183628.14	1117
DGCR6L	ENSG00000128185.10	1172
DGCR8	ENSG00000128191.16	4506
DGKD	ENSG00000077044.11	6308
DGKE	ENSG00000153933.10	8608
DGKG	ENSG00000058866.15	5802
DGKH	ENSG00000102780.17	17497
DGKK	ENSG00000274588.2	7494
DGKQ	ENSG00000145214.14	4649
DGKZ	ENSG00000149091.15	3588
DGLUCY	ENSG00000133943.21	2957
DGUOK	ENSG00000114956.20	1075
DHCR24	ENSG00000116133.13	4233
DHCR7	ENSG00000172893.18	2627
DHDDS	ENSG00000117682.18	3288
DHDH	ENSG00000104808.8	1064
DHFR	ENSG00000228716.7	3919
DHFR2	ENSG00000178700.9	3856
DHODH	ENSG00000102967.12	4669
DHPS	ENSG00000095059.17	1345
DHRS1	ENSG00000157379.14	1427
DHRS11	ENSG00000278535.5	1515
DHRS12	ENSG00000102796.12	1119
DHRS13	ENSG00000167536.14	1929
DHRS2	ENSG00000100867.15	1676
DHRS3	ENSG00000162496.9	2201
DHRS4	ENSG00000157326.19	1264
DHRS4L2	ENSG00000187630.18	1258
DHRS7	ENSG00000100612.14	1956
DHRS7B	ENSG00000109016.18	1253
DHRS7C	ENSG00000184544.12	1294
DHRSX	ENSG00000169084.15	2579
DHRSX	ENSG00000169084.15_PAR_Y	NA
DHTKD1	ENSG00000181192.12	5173
DHX15	ENSG00000109606.13	2998
DHX16	ENSG00000204560.10	3406
DHX29	ENSG00000067248.11	4664
DHX30	ENSG00000132153.15	3855
DHX32	ENSG00000089876.12	3050
DHX33	ENSG00000005100.13	5535
DHX35	ENSG00000101452.15	3314
DHX36	ENSG00000174953.14	6723
DHX37	ENSG00000150990.9	4559
DHX38	ENSG00000140829.12	4323
DHX40	ENSG00000108406.10	3575
DHX57	ENSG00000163214.21	4885
DHX58	ENSG00000108771.13	2591
DHX8	ENSG00000067596.12	5549
DHX9	ENSG00000135829.17	4493
DIABLO	ENSG00000184047.20	1471
DIAPH2	ENSG00000147202.19	9203
DIAPH3	ENSG00000139734.19	4745
DICER1	ENSG00000100697.17	10384
DIDO1	ENSG00000101191.17	8479
DIMT1	ENSG00000086189.11	2831
DIO1	ENSG00000211452.12	1861
DIO2	ENSG00000211448.14	6017
DIP2A	ENSG00000160305.18	7350
DIP2C	ENSG00000151240.17	7885
DIPK1B	ENSG00000165716.11	2358
DIPK2A	ENSG00000181744.9	4330
DIRAS1	ENSG00000176490.5	3378
DIRAS2	ENSG00000165023.7	4105
DIS3	ENSG00000083520.15	10571
DISP2	ENSG00000140323.6	12612
DISP3	ENSG00000204624.8	5265
DIXDC1	ENSG00000150764.14	5826
DKC1	ENSG00000130826.19	2469
DKK1	ENSG00000107984.10	1805
DKK2	ENSG00000155011.9	3654
DKK4	ENSG00000104371.5	896
DKKL1	ENSG00000104901.7	939
DLAT	ENSG00000150768.17	3878
DLC1	ENSG00000164741.15	7412
DLD	ENSG00000091140.15	3537
DLEC1	ENSG00000008226.20	6899
DLEU7	ENSG00000186047.11	1121
DLG2	ENSG00000150672.18	7959
DLG3	ENSG00000082458.12	6042
DLG5	ENSG00000151208.17	7644
DLGAP5	ENSG00000126787.13	2881
DLK1	ENSG00000185559.16	4657
DLK2	ENSG00000171462.15	1548
DLL1	ENSG00000198719.9	3779
DLL4	ENSG00000128917.8	3426
DLST	ENSG00000119689.15	2813
DLX1	ENSG00000144355.15	2356
DLX2	ENSG00000115844.11	2454
DLX3	ENSG00000064195.7	2602
DLX4	ENSG00000108813.11	2018
DLX6	ENSG00000006377.11	2300
DMAC1	ENSG00000137038.8	2456
DMAP1	ENSG00000178028.14	1742
DMBT1	ENSG00000187908.20	7984
DMBX1	ENSG00000197587.11	5050
DMC1	ENSG00000100206.11	2269
DMD	ENSG00000198947.18	13992
DMGDH	ENSG00000132837.15	3173
DMKN	ENSG00000161249.21	1924
DMP1	ENSG00000152592.15	2705
DMRT1	ENSG00000137090.12	2215
DMRT2	ENSG00000173253.16	2428
DMRT3	ENSG00000064218.5	2493
DMRTA1	ENSG00000176399.4	5586
DMRTB1	ENSG00000143006.7	1910
DMRTC2	ENSG00000142025.16	1805
DMTF1	ENSG00000135164.19	3702
DMWD	ENSG00000185800.12	3410
DMXL1	ENSG00000172869.15	11538
DMXL2	ENSG00000104093.14	10596
DNA2	ENSG00000138346.15	4267
DNAAF1	ENSG00000154099.18	2388
DNAAF10	ENSG00000243667.7	2591
DNAAF11	ENSG00000129295.10	3343
DNAAF2	ENSG00000165506.15	2977
DNAAF3	ENSG00000167646.14	2118
DNAAF4	ENSG00000256061.7	1993
DNAAF5	ENSG00000164818.16	3412
DNAAF6	ENSG00000080572.14	1677
DNAAF8	ENSG00000166246.14	2457
DNAH1	ENSG00000114841.18	13105
DNAH5	ENSG00000039139.11	15781
DNAH7	ENSG00000118997.14	12419
DNAH9	ENSG00000007174.18	13711
DNAI1	ENSG00000122735.16	2529
DNAI2	ENSG00000171595.14	2292
DNAI3	ENSG00000162643.13	2990
DNAI4	ENSG00000152763.17	3817
DNAI7	ENSG00000118307.20	2510
DNAJA1	ENSG00000086061.16	2319
DNAJA2	ENSG00000069345.12	3008
DNAJA3	ENSG00000103423.14	2700
DNAJA4	ENSG00000140403.13	3127
DNAJB1	ENSG00000132002.9	2242
DNAJB11	ENSG00000090520.12	1640
DNAJB12	ENSG00000148719.16	2935
DNAJB13	ENSG00000187726.9	1162
DNAJB14	ENSG00000164031.17	5967
DNAJB2	ENSG00000135924.17	3072
DNAJB4	ENSG00000162616.9	2903
DNAJB6	ENSG00000105993.15	2489
DNAJB8	ENSG00000179407.4	2112
DNAJB9	ENSG00000128590.5	2409
DNAJC1	ENSG00000136770.11	2100
DNAJC10	ENSG00000077232.19	20144
DNAJC11	ENSG00000007923.17	3201
DNAJC12	ENSG00000108176.15	1221
DNAJC13	ENSG00000138246.17	7754
DNAJC15	ENSG00000120675.6	7459
DNAJC16	ENSG00000116138.13	6034
DNAJC17	ENSG00000104129.10	3721
DNAJC18	ENSG00000170464.10	5102
DNAJC19	ENSG00000205981.9	1416
DNAJC2	ENSG00000105821.15	2291
DNAJC24	ENSG00000170946.15	2970
DNAJC25	ENSG00000059769.20	2280
DNAJC27	ENSG00000115137.12	4847
DNAJC28	ENSG00000177692.12	1485
DNAJC3	ENSG00000102580.15	5590
DNAJC5	ENSG00000101152.11	5249
DNAJC5B	ENSG00000147570.10	2108
DNAJC6	ENSG00000116675.16	5962
DNAJC7	ENSG00000168259.17	1806
DNAJC8	ENSG00000126698.11	1763
DNAJC9	ENSG00000213551.7	2295
DNAL1	ENSG00000119661.15	8417
DNAL4	ENSG00000100246.13	1474
DNASE1	ENSG00000213918.11	1346
DNASE1L1	ENSG00000013563.14	2610
DNASE1L2	ENSG00000167968.13	1349
DNASE1L3	ENSG00000163687.14	1414
DNASE2	ENSG00000105612.10	1938
DNASE2B	ENSG00000137976.8	1317
DND1	ENSG00000256453.2	1595
DNER	ENSG00000187957.8	3257
DNLZ	ENSG00000213221.5	3096
DNM1	ENSG00000106976.21	3217
DNM1L	ENSG00000087470.20	4514
DNM3	ENSG00000197959.15	7627
DNMBP	ENSG00000107554.17	6428
DNMT1	ENSG00000130816.17	5274
DNMT3A	ENSG00000119772.19	9421
DNMT3B	ENSG00000088305.19	4336
DNMT3L	ENSG00000142182.9	1384
DNPEP	ENSG00000123992.20	3825
DNPH1	ENSG00000112667.13	654
DNTT	ENSG00000107447.8	1934
DNTTIP1	ENSG00000101457.13	1264
DNTTIP2	ENSG00000067334.14	5896
DOC2A	ENSG00000149927.18	2013
DOC2B	ENSG00000272636.5	6062
DOCK1	ENSG00000150760.13	6840
DOCK11	ENSG00000147251.16	6719
DOCK3	ENSG00000088538.13	9069
DOCK5	ENSG00000147459.18	10246
DOCK6	ENSG00000130158.14	6430
DOCK8	ENSG00000107099.18	7448
DOHH	ENSG00000129932.10	1763
DOK1	ENSG00000115325.14	1918
DOK2	ENSG00000147443.13	1766
DOK4	ENSG00000125170.11	2806
DOK5	ENSG00000101134.12	1965
DOK6	ENSG00000206052.11	9057
DOK7	ENSG00000175920.18	2566
DOLPP1	ENSG00000167130.18	2169
DONSON	ENSG00000159147.18	2500
DOP1A	ENSG00000083097.15	7957
DOT1L	ENSG00000104885.19	7652
DPAGT1	ENSG00000172269.20	1913
DPCD	ENSG00000166171.13	819
DPEP2	ENSG00000167261.14	1728
DPEP3	ENSG00000141096.6	1688
DPF1	ENSG00000011332.22	2301
DPF2	ENSG00000133884.10	3714
DPF3	ENSG00000205683.12	11413
DPH1	ENSG00000108963.19	2646
DPH2	ENSG00000132768.14	2466
DPH3	ENSG00000154813.10	4019
DPH5	ENSG00000117543.22	1768
DPH6	ENSG00000134146.12	2098
DPH7	ENSG00000148399.13	2302
DPM1	ENSG00000000419.14	1054
DPM2	ENSG00000136908.18	912
DPM3	ENSG00000179085.8	396
DPP10	ENSG00000175497.17	5964
DPP3	ENSG00000254986.8	2660
DPP4	ENSG00000197635.11	3573
DPP6	ENSG00000130226.17	4826
DPP7	ENSG00000176978.14	1601
DPP8	ENSG00000074603.19	7281
DPP9	ENSG00000142002.19	4273
DPPA2	ENSG00000163530.4	1383
DPPA3	ENSG00000187569.3	1100
DPPA4	ENSG00000121570.13	2788
DPPA5	ENSG00000203909.4	659
DPT	ENSG00000143196.5	1719
DPY19L2	ENSG00000177990.12	3976
DPY19L4	ENSG00000156162.16	6197
DPY30	ENSG00000162961.14	688
DPYD	ENSG00000188641.14	4423
DPYS	ENSG00000147647.13	2122
DPYSL2	ENSG00000092964.18	4798
DPYSL3	ENSG00000113657.13	5492
DPYSL4	ENSG00000151640.13	2664
DPYSL5	ENSG00000157851.17	5178
DR1	ENSG00000117505.13	10124
DRAM1	ENSG00000136048.14	3279
DRAM2	ENSG00000156171.15	2098
DRAP1	ENSG00000175550.8	822
DRAXIN	ENSG00000162490.7	7365
DRC3	ENSG00000171962.18	2031
DRC7	ENSG00000159625.15	3387
DRD2	ENSG00000149295.14	2808
DRD3	ENSG00000151577.14	2770
DRD4	ENSG00000069696.7	1399
DRG1	ENSG00000185721.13	1665
DRG2	ENSG00000108591.10	1900
DRICH1	ENSG00000189269.12	1300
DRP2	ENSG00000102385.13	7282
DSC2	ENSG00000134755.18	12331
DSC3	ENSG00000134762.17	7583
DSCAM	ENSG00000171587.15	8571
DSCC1	ENSG00000136982.6	2198
DSG1	ENSG00000134760.6	7191
DSG2	ENSG00000046604.14	5697
DSG3	ENSG00000134757.5	5579
DSG4	ENSG00000175065.12	4572
DSN1	ENSG00000149636.16	2181
DSP	ENSG00000096696.15	9697
DSTN	ENSG00000125868.16	3405
DSTYK	ENSG00000133059.17	8010
DTD1	ENSG00000125821.13	3953
DTD2	ENSG00000129480.13	2713
DTL	ENSG00000143476.18	4409
DTNB	ENSG00000138101.20	2417
DTNBP1	ENSG00000047579.20	1383
DTWD1	ENSG00000104047.15	13699
DTWD2	ENSG00000169570.10	5776
DTX2	ENSG00000091073.20	2641
DTX3L	ENSG00000163840.10	5768
DTX4	ENSG00000110042.8	6003
DTYMK	ENSG00000168393.13	1051
DUOX1	ENSG00000137857.18	5483
DUOX2	ENSG00000140279.13	6361
DUOXA1	ENSG00000140254.13	3102
DUOXA2	ENSG00000140274.14	1755
DUS1L	ENSG00000169718.18	2233
DUS2	ENSG00000167264.18	1982
DUS3L	ENSG00000141994.16	2038
DUSP1	ENSG00000120129.6	2013
DUSP10	ENSG00000143507.18	2589
DUSP11	ENSG00000144048.11	1570
